rank,prev_rank,name,league,off,def,spi
93,82,Grêmio,Brasileiro Série A,1.65,0.93,62.69
94,91,Bologna,Italy Serie A,1.79,1.05,62.57
95,105,FC Midtjylland,Danish SAS-Ligaen,1.72,0.99,62.4
96,98,Strasbourg,French Ligue 1,1.64,0.93,62.4
97,84,Real Valladolid,Spanish Primera Division,1.55,0.85,62.35
98,89,Brentford,English League Championship,1.59,0.89,62.27
99,104,Atlético Paranaense,Brasileiro Série A,1.42,0.75,62.05
100,103,Ludogorets,UEFA Europa League,1.74,1.03,61.92
101,101,Torino,Italy Serie A,1.64,0.95,61.86
102,106,SC Freiburg,German Bundesliga,1.79,1.08,61.85
103,107,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
104,92,Mainz,German Bundesliga,1.97,1.24,61.71
105,99,Levante,Spanish Primera Division,1.92,1.21,61.29
106,112,Malmo FF,Swedish Allsvenskan,1.59,0.93,61.18
107,114,Reims,French Ligue 1,1.39,0.76,61.18
108,115,Sassuolo,Italy Serie A,1.77,1.09,61.12
109,109,Sampdoria,Italy Serie A,1.6,0.95,61.01
110,118,Braga,Portuguese Liga,1.62,0.98,60.73
111,102,Mallorca,Spanish Primera Division,1.75,1.1,60.58
112,86,Fortuna Düsseldorf,German Bundesliga,1.82,1.16,60.56
113,113,FC Cologne,German Bundesliga,1.68,1.04,60.34
114,121,Stade Rennes,French Ligue 1,1.56,0.94,60.3
115,110,Galatasaray,Turkish Turkcell Super Lig,1.62,1.01,60.06
116,122,FC Copenhagen,Danish SAS-Ligaen,1.75,1.12,59.99
117,119,Cagliari,Italy Serie A,1.75,1.13,59.83
118,123,West Bromwich Albion,English League Championship,1.7,1.08,59.81
119,116,Club América,Mexican Primera Division Torneo Apertura,1.69,1.08,59.59
120,120,Boca Juniors,Argentina Primera Division,1.47,0.89,59.47
121,117,Bordeaux,French Ligue 1,1.47,0.9,59.28
122,108,Fulham,English League Championship,1.68,1.1,59.12
123,125,Besiktas,Turkish Turkcell Super Lig,1.84,1.24,59.1
124,129,KAA Gent,Belgian Jupiler League,1.71,1.13,59.1
125,130,St Etienne,French Ligue 1,1.5,0.94,59.08
126,131,Trabzonspor,Turkish Turkcell Super Lig,1.74,1.17,58.62
127,127,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
128,128,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
129,126,Norwich City,Barclays Premier League,1.7,1.15,58.31
130,133,Parma,Italy Serie A,1.6,1.06,58.29
131,136,Internacional,Brasileiro Série A,1.49,0.97,58.03
132,111,Lokomotiv Moscow,Russian Premier Liga,1.64,1.11,57.92
133,144,Fenerbahce,Turkish Turkcell Super Lig,1.76,1.23,57.69
134,134,Los Angeles FC,Major League Soccer,1.98,1.43,57.68
135,124,Nice,French Ligue 1,1.57,1.06,57.57
136,137,Apoel Nicosia,UEFA Europa League,1.63,1.12,57.36
137,142,Genoa,Italy Serie A,1.72,1.21,57.21
138,148,Monterrey,Mexican Primera Division Torneo Apertura,1.62,1.12,57.15
139,138,Hammarby,Swedish Allsvenskan,2.13,1.6,57.14
140,141,São Paulo,Brasileiro Série A,1.32,0.85,57.09
141,135,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.49,1.01,57.04
142,139,Verona,Italy Serie A,1.51,1.03,57.0
143,132,Rapid Vienna,Austrian T-Mobile Bundesliga,1.78,1.28,56.95
144,149,SC Paderborn,German Bundesliga,1.65,1.16,56.9
145,143,Guimaraes,Portuguese Liga,1.5,1.03,56.81
146,151,St Gallen,Swiss Raiffeisen Super League,1.91,1.41,56.64
147,140,Red Star Belgrade,UEFA Champions League,1.92,1.43,56.48
148,166,Rostov,Russian Premier Liga,1.54,1.09,56.16
149,146,Santos Laguna,Mexican Primera Division Torneo Apertura,1.7,1.25,55.95
150,147,Tigres UANL,Mexican Primera Division Torneo Apertura,1.44,1.02,55.77
151,150,Standard Liege,Belgian Jupiler League,1.68,1.25,55.57
152,177,FC Arsenal Tula,Russian Premier Liga,1.4,0.99,55.46
153,152,Molde,Norwegian Tippeligaen,1.93,1.5,55.26
154,157,Dijon FCO,French Ligue 1,1.4,1.02,54.77
155,153,Spal,Italy Serie A,1.45,1.07,54.58
156,156,Cruz Azul,Mexican Primera Division Torneo Apertura,1.46,1.09,54.51
157,158,Udinese,Italy Serie A,1.47,1.11,54.08
158,155,Lecce,Italy Serie A,1.68,1.32,53.89
159,161,Genk,Belgian Jupiler League,1.69,1.35,53.63
160,183,Yokohama F. Marinos,Japanese J League,1.76,1.42,53.62
161,167,Atletico Mineiro,Brasileiro Série A,1.42,1.08,53.53
162,159,Brest,French Ligue 1,1.49,1.16,53.41
163,162,Feyenoord,Dutch Eredivisie,1.69,1.35,53.31
164,180,Sivasspor,Turkish Turkcell Super Lig,1.67,1.34,53.29
165,154,Wolfsberger AC,Austrian T-Mobile Bundesliga,1.65,1.32,53.25
166,164,Pachuca,Mexican Primera Division Torneo Apertura,1.63,1.31,53.21
167,195,AEK Athens,Greek Super League,1.5,1.17,53.19
168,145,Spartak Moscow,Russian Premier Liga,1.29,0.98,53.0
169,169,FK Qarabag,UEFA Europa League,1.47,1.16,52.96
170,173,Fluminense,Brasileiro Série A,1.35,1.04,52.91
171,179,Corinthians,Brasileiro Série A,1.26,0.96,52.88
172,172,Brescia,Italy Serie A,1.5,1.19,52.86
173,170,Ferencvaros,UEFA Europa League,1.55,1.24,52.74
174,176,Rio Ave,Portuguese Liga,1.44,1.14,52.54
175,202,Antwerp,Belgian Jupiler League,1.62,1.33,52.47
176,160,Amiens,French Ligue 1,1.4,1.12,52.39
177,168,Brondby,Danish SAS-Ligaen,1.77,1.48,52.35
178,182,Sheffield Wednesday,English League Championship,1.41,1.13,52.3
179,192,Hull City,English League Championship,1.51,1.23,52.26
180,174,Djurgardens IF,Swedish Allsvenskan,1.36,1.08,52.22
181,175,IFK Norrkoping,Swedish Allsvenskan,1.54,1.26,52.21
182,163,Metz,French Ligue 1,1.36,1.09,52.0
183,178,FK Partizan Belgrade,UEFA Europa League,1.48,1.22,51.91
184,193,Vasco da Gama,Brasileiro Série A,1.34,1.08,51.83
185,171,Toulouse,French Ligue 1,1.55,1.3,51.32
186,186,Jiangsu Suning FC,Chinese Super League,1.5,1.26,51.28
187,187,FC Astana,UEFA Europa League,1.55,1.31,51.26
188,190,Kawasaki Frontale,Japanese J League,1.48,1.25,51.15
189,184,Cruzeiro,Brasileiro Série A,1.18,0.96,50.89
190,197,VfB Stuttgart,German 2. Bundesliga,1.6,1.38,50.7
